timestamp,method,path,status:int,bytes:int,duration:int
2024-01-15T10:00:00Z,GET,/,200,1234,45
2024-01-15T10:00:05Z,POST,/api/login,200,456,78
2024-01-15T10:00:10Z,GET,/api/users,200,9876,123
2024-01-15T10:00:15Z,PUT,/api/users/123,200,567,89
2024-01-15T10:00:20Z,GET,/favicon.ico,404,0,5
2024-01-15T10:00:25Z,DELETE,/api/posts/999,204,0,34
2024-01-15T10:00:30Z,GET,/admin,401,234,12
2024-01-15T10:00:35Z,POST,/api/upload,413,0,8
2024-01-15T10:00:40Z,GET,/api/search,200,5432,345
2024-01-15T10:00:45Z,GET,/api/export,200,123456,2345
2024-01-15T10:00:50Z,PATCH,/api/settings,200,789,67
2024-01-15T10:00:55Z,GET,/api/stats,500,0,1234
2024-01-15T10:01:00Z,GET,/api/health,200,89,8
2024-01-15T10:01:05Z,POST,/api/webhook,202,123,56
2024-01-15T10:01:10Z,GET,/robots.txt,200,345,4
