timestamp,method,path,status,bytes,duration_ms
2024-01-15T10:00:00Z,GET,/,200,1234,45
2024-01-15T10:00:05Z,GET,/api/users,200,5678,120
2024-01-15T10:00:10Z,POST,/api/login,200,234,67
2024-01-15T10:00:15Z,GET,/api/users/123,200,890,34
2024-01-15T10:00:20Z,PUT,/api/users/123,200,456,89
2024-01-15T10:00:25Z,GET,/static/logo.png,200,12345,12
2024-01-15T10:00:30Z,GET,/api/posts,200,9876,156
2024-01-15T10:00:35Z,GET,/favicon.ico,404,0,5
2024-01-15T10:00:40Z,POST,/api/posts,201,567,234
2024-01-15T10:00:45Z,GET,/api/comments,200,4321,98
2024-01-15T10:00:50Z,DELETE,/api/posts/456,204,0,45
2024-01-15T10:00:55Z,GET,/admin,401,123,12
2024-01-15T10:01:00Z,GET,/api/search,200,7890,345
2024-01-15T10:01:05Z,POST,/api/upload,413,0,5
2024-01-15T10:01:10Z,GET,/api/stats,200,2345,234
2024-01-15T10:01:15Z,GET,/api/health,200,89,8
2024-01-15T10:01:20Z,GET,/api/users,500,567,1234
2024-01-15T10:01:25Z,GET,/api/retry,200,890,89
2024-01-15T10:01:30Z,PATCH,/api/users/789,200,345,123
2024-01-15T10:01:35Z,GET,/robots.txt,200,234,4
2024-01-15T10:01:40Z,GET,/api/feed,200,15678,456
2024-01-15T10:01:45Z,POST,/api/logout,200,123,34
2024-01-15T10:01:50Z,GET,/nonexistent,404,567,7
2024-01-15T10:01:55Z,GET,/api/metrics,200,3456,67
2024-01-15T10:02:00Z,GET,/api/version,200,89,12
