user_id	username	action	timestamp	success
101	alice	login	2024-01-15T10:00:00Z	true
102	bob	login	2024-01-15T10:00:10Z	true
103	charlie	login	2024-01-15T10:00:20Z	false
101	alice	view_profile	2024-01-15T10:01:00Z	true
104	diana	login	2024-01-15T10:01:30Z	true
102	bob	edit_post	2024-01-15T10:02:00Z	true
101	alice	upload_file	2024-01-15T10:02:30Z	false
105	eve	login	2024-01-15T10:03:00Z	true
103	charlie	reset_password	2024-01-15T10:03:30Z	true
104	diana	delete_account	2024-01-15T10:04:00Z	true
102	bob	logout	2024-01-15T10:05:00Z	true
105	eve	view_dashboard	2024-01-15T10:05:30Z	true
101	alice	logout	2024-01-15T10:06:00Z	true
106	frank	login	2024-01-15T10:07:00Z	false
106	frank	login	2024-01-15T10:07:30Z	false
106	frank	login	2024-01-15T10:08:00Z	false
105	eve	change_settings	2024-01-15T10:09:00Z	true
103	charlie	login	2024-01-15T10:10:00Z	true
107	grace	login	2024-01-15T10:11:00Z	true
103	charlie	logout	2024-01-15T10:12:00Z	true
